soundName|personName|TRN/TST|soundPath|wrdPath|phnPath|txtPath|gender|region|age|recordDate|birthDate|height|race|education|prompt|start|end
sa1|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SA1.wav|TIMIT/TRAIN/DR6/MABC0/SA1.wrd|TIMIT/TRAIN/DR6/MABC0/SA1.phn|TIMIT/TRAIN/DR6/MABC0/SA1.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |She had your dark suit in greasy wash water all|0|43418
sa2|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SA2.wav|TIMIT/TRAIN/DR6/MABC0/SA2.wrd|TIMIT/TRAIN/DR6/MABC0/SA2.phn|TIMIT/TRAIN/DR6/MABC0/SA2.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |Don't ask me to carry an oily rag like|0|35840
sx331|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SX331.wav|TIMIT/TRAIN/DR6/MABC0/SX331.wrd|TIMIT/TRAIN/DR6/MABC0/SX331.phn|TIMIT/TRAIN/DR6/MABC0/SX331.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |The big dog loved to chew on the old rag|0|39322
sx61|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SX61.wav|TIMIT/TRAIN/DR6/MABC0/SX61.wrd|TIMIT/TRAIN/DR6/MABC0/SX61.phn|TIMIT/TRAIN/DR6/MABC0/SX61.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |Chocolate and roses never fail as a romantic|0|39936
sx241|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SX241.wav|TIMIT/TRAIN/DR6/MABC0/SX241.wrd|TIMIT/TRAIN/DR6/MABC0/SX241.phn|TIMIT/TRAIN/DR6/MABC0/SX241.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |The hallway opens into a huge|0|31949
sx421|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SX421.wav|TIMIT/TRAIN/DR6/MABC0/SX421.wrd|TIMIT/TRAIN/DR6/MABC0/SX421.phn|TIMIT/TRAIN/DR6/MABC0/SX421.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |Those who teach values first abolish|0|37888
sx151|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SX151.wav|TIMIT/TRAIN/DR6/MABC0/SX151.wrd|TIMIT/TRAIN/DR6/MABC0/SX151.phn|TIMIT/TRAIN/DR6/MABC0/SX151.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |The previous speaker presented ambiguous|0|49050
si781|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SI781.wav|TIMIT/TRAIN/DR6/MABC0/SI781.wrd|TIMIT/TRAIN/DR6/MABC0/SI781.phn|TIMIT/TRAIN/DR6/MABC0/SI781.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |Again, these blocks were set in resin-saturated glass cloth and|0|59085
si1620|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SI1620.wav|TIMIT/TRAIN/DR6/MABC0/SI1620.wrd|TIMIT/TRAIN/DR6/MABC0/SI1620.phn|TIMIT/TRAIN/DR6/MABC0/SI1620.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |His head flopped|0|22426
si2041|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SI2041.wav|TIMIT/TRAIN/DR6/MABC0/SI2041.wrd|TIMIT/TRAIN/DR6/MABC0/SI2041.phn|TIMIT/TRAIN/DR6/MABC0/SI2041.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |The shot reverberated in diminishing whiplashes of|0|45364
sa1|ADC0|TRN|TIMIT/TRAIN/DR6/MABC0/SA1.wav|TIMIT/TRAIN/DR6/MABC0/SA1.wrd|TIMIT/TRAIN/DR6/MABC0/SA1.phn|TIMIT/TRAIN/DR6/MABC0/SA1.txt|M|North Midland|31|02/25/86|04/27/54|175.26|WHT|HS |She had your dark suit in greasy wash water all|0|43418
